Genome	Accession	RefSeq type	Source information	Number of segments	Genome length	Number of proteins	Genome Neighbors	Host	Date completed	Date updated
Torque teno midi virus 9	NC_038356	complete	isolate:MDJN2	-	3187 nt	4	-	human	8/24/18	8/24/18
Torque teno mini virus 1	NC_014097	complete	isolate:TLMV-CBD279	-	2856 nt	3	-	human	4/30/10	8/13/18
Torque teno mini virus 10	NC_038345	complete	isolate:LIL-y1	-	2887 nt	4	21	human	8/24/18	8/24/18
Torque teno mini virus 11	NC_038346	complete	isolate:LIL-y2	-	2871 nt	3	-	human	8/24/18	8/24/18
Torque teno mini virus 12	NC_038347	complete	isolate:LIL-y3	-	2912 nt	4	-	human	8/24/18	8/24/18
Torque teno mini virus 18	NC_030297	complete	isolate:222	-	2803 nt	3	-	human	6/10/16	8/13/18
Torque teno mini virus 2	NC_014086	complete	isolate:TLMV-NLC023	-	2765 nt	3	-	human	4/29/10	8/13/18
Torque teno mini virus 3	NC_014088	complete	isolate:TLMV-NLC026	-	2897 nt	3	-	human	4/30/10	8/13/18
Torque teno mini virus 5	NC_014089	complete	isolate:TGP96	-	2908 nt	3	-	human	4/30/10	8/13/18
Torque teno mini virus 6	NC_014095	complete	isolate:TLMV-CBD203	-	2897 nt	3	-	human	4/30/10	8/13/18
Torque teno mini virus 8	NC_014068	complete	isolate:PB4TL	-	2910 nt	2	-	human	4/29/10	8/13/18
Torque teno mini virus ALA22	NC_025726	complete	isolate:TTMV-ALA22	-	2914 nt	3	-	human	11/26/14	8/13/18
Torque teno mini virus ALH8	NC_025727	complete	isolate:TTMV-ALH8	-	2855 nt	2	-	human	11/26/14	8/13/18
Torque teno virus	NC_015783	complete	isolate:TTV-HD14a (gbDhDi33.32)	-	3725 nt	-	167	"human, vertebrates"	7/6/11	8/13/18
Torque teno virus 1	NC_002076	complete	isolate:VT416	-	3852 nt	3	19	"human, vertebrates"	3/13/98	8/13/18
Torque teno virus 10	NC_014076	complete	isolate:JT34F	-	3770 nt	4	1	human	4/29/10	8/13/18
Torque teno virus 2	NC_014480	complete	isolate:s-TTV CH71	-	3322 nt	2	-	"human, vertebrates"	9/8/10	8/13/18
Torque teno virus 25	NC_014083	complete	isolate:Mf-TTV9	-	3763 nt	3	-	human	4/29/10	8/13/18
Torque teno virus 27	NC_014074	complete	isolate:CT23F	-	3729 nt	4	-	human	4/29/10	8/13/18
Torque teno virus 3	NC_014081	complete	strain:HEL32	-	3748 nt	6	-	human	4/29/10	8/13/18
Torque teno virus 6	NC_014094	complete	isolate:KAV	-	3705 nt	4	-	human	4/30/10	8/13/18
Torque teno virus 7	NC_014080	complete	isolate:PMV	-	3736 nt	3	2	human	4/29/10	8/13/18
Torque teno virus 9	NC_038337	complete	isolate:BM1C	-	3064 nt	1	-	human	8/24/18	8/24/18
Trichodysplasia spinulosa-associated polyomavirus	NC_014361	complete	-	-	5232 nt	5	23	human	8/5/10	8/13/18
Trichomonas vaginalis virus	NC_003824	complete	strain:T1	-	4647 nt	2	-	"human, protozoa"	3/9/95	8/13/18
Turkey coronavirus	NC_010800	complete	isolate:MG10	-	27657 nt	11	442	"human, vertebrates"	6/3/08	8/13/18
Umbre virus	-	complete	strain:NIV631308	6	24702 nt	8	-	"human, invertebrates"	5/6/23	5/7/23
Usutu virus	NC_006551	complete	strain:Vienna 2001	-	11066 nt	2	290	"human, invertebrates, vertebrates"	12/17/04	5/24/19
Vaccinia virus	NC_006998	complete	strain:WR (Western Reserve)	-	194711 nt	223	104	"human, vertebrates"	5/19/05	8/13/18
Variegated squirrel bornavirus 1	NC_030701	complete	isolate:squirrel brain	-	8798 nt	6	24	"human, vertebrates"	7/9/15	8/13/18
Variola virus	NC_001611	complete	"strain:India-1967, ssp. major; isolate:Ind3"	-	185578 nt	197	50	human	5/4/93	12/20/20
Venezuelan equine encephalitis virus	NC_001449	complete	-	-	11444 nt	4	140	"human, invertebrates, vertebrates"	6/11/93	8/13/18
Vesicular exanthema of swine virus	NC_002551	complete	-	-	8284 nt	3	5	"human, vertebrates"	3/3/97	8/13/18
Vesiculovirus jurona	NC_039206	complete	strain:BeAr40578	-	11121 nt	5	1	"human, invertebrates"	8/24/18	8/24/18
WU Polyomavirus	NC_009539	complete	strain:B0	-	5229 nt	5	152	human	6/7/07	8/13/18
Walrus calicivirus	NC_004541	complete	-	-	8289 nt	3	5	"human, vertebrates"	1/23/03	8/13/18
Wesselsbron virus	NC_012735	complete	strain:SAH177	-	10814 nt	1	6	"human, invertebrates, vertebrates"	6/2/09	6/4/19
West Nile virus	-	complete	strain:NY99; isolate:385-99	2	21991 nt	5	-	"human, invertebrates, vertebrates"	10/19/07	8/1/19
Western equine encephalitis virus	NC_003908	complete	strain:71V-1658	-	11484 nt	3	45	"human, invertebrates, vertebrates"	1/27/00	8/13/18
Yaba-like disease virus	NC_002642	complete	-	-	144575 nt	152	1	human	1/6/01	12/20/20
Yellow fever virus	NC_002031	complete	strain:17D vaccine strain	-	10862 nt	1	320	"human, invertebrates, vertebrates"	11/18/86	5/23/19
Zaire ebolavirus	NC_002549	complete	isolate:Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga	-	18959 nt	9	1581	"human, vertebrates"	2/10/99	8/13/18
Zika virus	-	complete	strain:MR 766	2	21602 nt	2	-	"human, invertebrates, vertebrates"	4/6/09	8/1/19
adeno-associated virus 2	NC_001401	complete	-	-	4679 nt	9	5	"human, vertebrates"	4/27/93	8/13/18
aichivirus A1	NC_001918	complete	isolate:A846/88	-	8251 nt	1	26	"human, vertebrates"	7/9/98	8/13/18
dengue virus type 1	NC_001477	complete	type:1	-	10735 nt	1	-	"human, invertebrates, vertebrates"	2/28/97	5/3/19
dengue virus type 2	NC_001474	complete	strain:16681	-	10723 nt	1	6563	"human, invertebrates, vertebrates"	8/2/93	7/11/19
dengue virus type 3	NC_001475	complete	isolate:D3/H/IMTSSA-SRI/2000/1266	-	10707 nt	1	6563	"human, invertebrates, vertebrates"	8/2/93	7/11/19
dengue virus type 4	NC_002640	complete	-	-	10649 nt	1	6563	"human, invertebrates, vertebrates"	1/3/01	7/11/19
enterovirus A114	NC_030454	complete	strain:V13-0285; serotype:EV-A114	-	7317 nt	1	3092	"human, vertebrates"	7/12/16	9/13/20
enterovirus D68	NC_038308	complete	strain:Fermon	-	7367 nt	1	894	human	8/24/18	8/24/18
human gammaherpesvirus 4	NC_007605	complete	strain:B95-8; strain:Raji; type:1	-	171823 nt	94	657	"human, vertebrates"	10/9/02	8/13/18
human metapneumovirus	NC_039199	complete	isolate:00-1	-	13350 nt	9	343	"human, vertebrates"	8/25/18	8/25/18
human papillomavirus 10	NC_001576	complete	-	-	7919 nt	7	3	human	8/22/93	8/13/18
human papillomavirus 101	NC_008189	complete	type:101; isolate:Qv23954	-	7259 nt	6	12	human	6/21/06	8/13/18
human papillomavirus 103	NC_008188	complete	type:103; isolate:Qv33725	-	7263 nt	6	12	human	6/21/06	8/13/18
human papillomavirus 108	NC_012213	complete	-	-	7149 nt	5	12	human	3/9/09	6/4/19
human papillomavirus 112	NC_012486	complete	-	-	7227 nt	7	6	human	3/31/09	8/13/18
human papillomavirus 128	NC_014952	complete	-	-	7259 nt	7	3	"human, vertebrates"	1/24/11	6/4/19
human papillomavirus 129	NC_014953	complete	-	-	7219 nt	7	4	human	1/24/11	6/4/19
human papillomavirus 131	NC_014954	complete	isolate:27-49	-	7182 nt	7	1	human	1/24/11	6/4/19
human papillomavirus 137	NC_017995	complete	isolate:NJ2801H	-	7236 nt	7	1	human	6/4/12	8/13/18
human papillomavirus 163	NC_028125	complete	isolate:KC3	-	7233 nt	6	1	human	10/30/15	8/13/18
human papillomavirus 166	NC_019023	complete	isolate:KC9	-	7212 nt	6	2	human	10/29/12	8/13/18
human papillomavirus 30	NC_038889	complete	-	-	7852 nt	6	129	human	8/22/93	8/24/18
human papillomavirus 71	NC_039089	complete	-	-	8017 nt	1	19	"human, vertebrates"	8/24/18	8/24/18
human respiratory syncytial virus	-	complete	strain:B1	2	30447 nt	22	-	human	11/2/97	12/11/20
parechovirus A1	NC_038319	complete	-	-	7339 nt	1	329	"human, vertebrates"	8/24/18	8/24/18
rhinovirus A1	NC_038311	complete	strain:ATCC VR-1559; culture-collection:ATCC:VR-1559	-	7137 nt	1	848	"human, vertebrates"	8/24/18	8/24/18
rhinovirus A107	NC_076045	incomplete	-	-	990 nt	1	-	"human, vertebrates"	5/4/23	5/4/23
rhinovirus B14	NC_001490	complete	-	-	7212 nt	1	163	human	8/2/93	3/5/22
rhinovirus B3	NC_038312	complete	serotype:3	-	7208 nt	1	163	human	8/24/18	6/4/19
rosavirus A1	NC_038880	complete	strain:Rosa.M-7	-	8749 nt	1	-	"human, vertebrates"	8/24/18	8/24/18
rosavirus A2	NC_024070	complete	strain:GA7403	-	8931 nt	1	-	"human, vertebrates"	5/5/14	8/13/18
sandfly fever Turkey virus	-	complete	strain:Izmir 19	3	12603 nt	4	-	"human, invertebrates"	4/26/11	8/13/18
simian adenovirus 1	NC_006879	complete	strain:ATCC VR-195	-	34450 nt	35	-	"human, vertebrates"	3/17/05	12/20/20
